query,case,median,min,median_cap,min_cap,max_cap,p10_cap,p90_cap,n_fail,label,benchmark,sf,threads
21a,1,0.37,0.24,0.37,0.24,1.67,0.26,1.602,0,job_t1,job,0,1
21a,2,0.24,0.21,0.24,0.21,0.39,0.23,0.38,0,job_t1,job,0,1
21a,3,0.24,0.21,0.24,0.21,0.39,0.23,0.38,0,job_t1,job,0,1
21a,4,0.24,0.21,0.24,0.21,0.28,0.23,0.28,0,job_t1,job,0,1
21b,1,0.32,0.2,0.32,0.2,1.07,0.21,0.992,0,job_t1,job,0,1
21b,2,0.24,0.17,0.24,0.17,0.34,0.21,0.34,0,job_t1,job,0,1
21b,3,0.24,0.17,0.24,0.17,0.34,0.21,0.34,0,job_t1,job,0,1
21b,4,0.23,0.17,0.23,0.17,0.27,0.209,0.27,0,job_t1,job,0,1
21c,1,0.435,0.26,0.435,0.26,1.74,0.26,1.671,0,job_t1,job,0,1
21c,2,0.245,0.22,0.245,0.22,0.44,0.239,0.43,0,job_t1,job,0,1
21c,3,0.245,0.22,0.245,0.22,0.44,0.239,0.43,0,job_t1,job,0,1
21c,4,0.24,0.21,0.24,0.21,0.28,0.23,0.28,0,job_t1,job,0,1
22a,1,1.79,0.93,1.79,0.93,7.67,1.0370000000000001,2.707000000000006,0,job_t1,job,0,1
22a,2,0.66,0.6,0.66,0.6,0.71,0.61,0.681,0,job_t1,job,0,1
22a,3,0.67,0.58,0.67,0.58,0.69,0.609,0.681,0,job_t1,job,0,1
22a,4,0.6,0.57,0.6,0.57,0.62,0.57,0.62,0,job_t1,job,0,1
22b,1,1.71,0.79,1.71,0.79,7.4,0.884,2.6950000000000056,0,job_t1,job,0,1
22b,2,0.645,0.56,0.645,0.56,0.68,0.58,0.67,0,job_t1,job,0,1
22b,3,0.65,0.56,0.65,0.56,0.68,0.579,0.68,0,job_t1,job,0,1
22b,4,0.59,0.55,0.59,0.55,0.62,0.559,0.6,0,job_t1,job,0,1
22c,1,2.4850000000000003,1.35,2.4850000000000003,1.35,10.76,1.5810000000000002,4.662000000000005,0,job_t1,job,0,1
22c,2,0.71,0.63,0.71,0.63,0.76,0.659,0.751,0,job_t1,job,0,1
22c,3,0.71,0.61,0.71,0.61,0.77,0.66,0.751,0,job_t1,job,0,1
22c,4,0.61,0.58,0.61,0.58,0.65,0.59,0.621,0,job_t1,job,0,1
22d,1,3.5250000000000004,1.2,3.5250000000000004,1.2,26.03,2.175,11.060000000000006,0,job_t1,job,0,1
22d,2,0.59,0.49,0.59,0.49,0.72,0.52,0.683,0,job_t1,job,0,1
22d,3,0.6,0.49,0.6,0.49,0.74,0.53,0.69,0,job_t1,job,0,1
22d,4,0.46,0.42,0.46,0.42,0.52,0.429,0.51,0,job_t1,job,0,1
23a,1,1.225,0.53,1.225,0.53,1.58,0.666,1.5250000000000001,0,job_t1,job,0,1
23a,2,0.6,0.5,0.6,0.5,0.74,0.519,0.73,0,job_t1,job,0,1
23a,3,0.6,0.51,0.6,0.51,0.73,0.52,0.721,0,job_t1,job,0,1
23a,4,0.58,0.54,0.58,0.54,0.64,0.559,0.622,0,job_t1,job,0,1
23b,1,1.165,0.44,1.165,0.44,1.49,0.613,1.3720000000000003,0,job_t1,job,0,1
23b,2,0.585,0.53,0.585,0.53,0.67,0.539,0.643,0,job_t1,job,0,1
23b,3,0.58,0.53,0.58,0.53,0.68,0.54,0.651,0,job_t1,job,0,1
23b,4,0.585,0.53,0.585,0.53,0.65,0.539,0.641,0,job_t1,job,0,1
23c,1,1.3050000000000002,0.54,1.3050000000000002,0.54,1.8,0.6759999999999999,1.614,0,job_t1,job,0,1
23c,2,0.74,0.61,0.74,0.61,0.87,0.665,0.851,0,job_t1,job,0,1
23c,3,0.735,0.61,0.735,0.61,0.88,0.665,0.861,0,job_t1,job,0,1
23c,4,0.67,0.58,0.67,0.58,0.74,0.635,0.73,0,job_t1,job,0,1
24a,1,2.825,1.68,2.825,1.68,5.31,1.72,4.2650000000000015,0,job_t1,job,0,1
24a,2,1.4049999999999998,1.12,1.4049999999999998,1.12,1.76,1.169,1.712,0,job_t1,job,0,1
24a,3,1.4049999999999998,1.11,1.4049999999999998,1.11,1.77,1.189,1.704,0,job_t1,job,0,1
24a,4,1.28,1.09,1.28,1.09,1.35,1.137,1.3410000000000002,0,job_t1,job,0,1
24b,1,2.46,1.25,2.46,1.25,3.86,1.3050000000000002,3.180000000000001,0,job_t1,job,0,1
24b,2,1.06,0.72,1.06,0.72,1.65,0.8109999999999999,1.6110000000000002,0,job_t1,job,0,1
24b,3,1.065,0.72,1.065,0.72,1.64,0.828,1.621,0,job_t1,job,0,1
24b,4,1.03,0.73,1.03,0.73,1.1,0.758,1.072,0,job_t1,job,0,1
25a,1,3.975,3.43,3.975,3.43,4.63,3.679,4.532,0,job_t1,job,0,1
25a,2,1.935,1.69,1.935,1.69,3.05,1.719,2.2670000000000003,0,job_t1,job,0,1
25a,3,1.915,1.68,1.915,1.68,3.07,1.708,2.2830000000000004,0,job_t1,job,0,1
25a,4,1.795,1.69,1.795,1.69,2.85,1.71,2.119000000000001,0,job_t1,job,0,1
25b,1,3.56,3.05,3.56,3.05,4.46,3.097,3.9030000000000005,0,job_t1,job,0,1
25b,2,1.53,0.73,1.53,0.73,1.84,0.793,1.63,0,job_t1,job,0,1
25b,3,1.525,0.72,1.525,0.72,1.72,0.802,1.633,0,job_t1,job,0,1
25b,4,1.53,0.72,1.53,0.72,1.69,0.739,1.651,0,job_t1,job,0,1
