label,benchmark,sf,threads,query,med_c1,med_c2,med_c3,med_c4,best_c1,best_c2,best_c3,best_c4,insurance,insurance_fwd,residual_qo,residual_qo_c1,pt_replaces_qo,backward_extra
tpcds_sf10_t8,tpcds,10,8,Q57,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q58,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q59,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q60,0.41,0.31,0.31,0.31,0.41,0.31,0.31,0.31,1.3225806451612903,1.3225806451612903,1.0,1.0,0.7560975609756098,1.0
tpcds_sf10_t8,tpcds,10,8,Q61,0.52,0.31,0.31,0.31,0.41,0.31,0.31,0.31,1.6774193548387097,1.6774193548387097,1.0,1.2682926829268293,0.7560975609756098,1.0
tpcds_sf10_t8,tpcds,10,8,Q62,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q63,0.31,0.21,0.21,0.21,0.31,0.21,0.21,0.21,1.4761904761904763,1.4761904761904763,1.0,1.0,0.6774193548387096,1.0
tpcds_sf10_t8,tpcds,10,8,Q64,1.69,0.72,0.82,0.52,0.72,0.62,0.62,0.52,3.25,2.3472222222222223,1.0,2.3472222222222223,0.7222222222222223,1.3846153846153846
tpcds_sf10_t8,tpcds,10,8,Q65,2.05,2.05,2.05,1.54,2.05,2.05,1.95,1.54,1.331168831168831,1.0,1.0,1.0,0.7512195121951221,1.331168831168831
tpcds_sf10_t8,tpcds,10,8,Q66,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q67,4.72,4.72,4.72,4.52,4.62,4.62,4.62,4.41,1.0442477876106195,1.0,1.0249433106575963,1.0216450216450215,0.9783549783549782,1.0442477876106195
tpcds_sf10_t8,tpcds,10,8,Q68,0.52,0.41,0.41,0.41,0.41,0.41,0.41,0.31,1.2682926829268293,1.2682926829268293,1.3225806451612903,1.2682926829268293,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q69,0.31,0.31,0.31,0.21,0.31,0.31,0.31,0.21,1.4761904761904763,1.0,1.0,1.0,0.6774193548387096,1.4761904761904763
tpcds_sf10_t8,tpcds,10,8,Q70,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q71,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.21,1.0,1.0,1.4761904761904763,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q72,30.14,0.72,0.72,0.77,1.85,0.62,0.62,0.62,39.142857142857146,41.861111111111114,1.2419354838709677,16.29189189189189,0.4162162162162162,0.935064935064935
tpcds_sf10_t8,tpcds,10,8,Q73,0.31,0.21,0.21,0.21,0.31,0.21,0.21,0.21,1.4761904761904763,1.4761904761904763,1.0,1.0,0.6774193548387096,1.0
tpcds_sf10_t8,tpcds,10,8,Q74,1.08,0.875,0.875,1.03,1.03,0.62,0.62,0.52,1.0485436893203883,1.2342857142857144,1.9807692307692308,1.0485436893203883,1.0,0.8495145631067961
tpcds_sf10_t8,tpcds,10,8,Q75,0.82,0.62,0.62,0.62,0.72,0.62,0.62,0.62,1.3225806451612903,1.3225806451612903,1.0,1.1388888888888888,0.8611111111111112,1.0
tpcds_sf10_t8,tpcds,10,8,Q76,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.31,1.0,1.0,1.3225806451612903,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q77,0.41,0.31,0.31,0.31,0.41,0.31,0.31,0.31,1.3225806451612903,1.3225806451612903,1.0,1.0,0.7560975609756098,1.0
tpcds_sf10_t8,tpcds,10,8,Q78,1.44,1.44,1.54,1.23,1.44,1.44,1.54,1.23,1.170731707317073,1.0,1.0,1.0,0.8541666666666667,1.170731707317073
tpcds_sf10_t8,tpcds,10,8,Q79,0.52,0.41,0.41,0.41,0.41,0.31,0.31,0.41,1.2682926829268293,1.2682926829268293,1.0,1.2682926829268293,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q80,0.62,0.41,0.41,0.41,0.62,0.41,0.41,0.41,1.5121951219512195,1.5121951219512195,1.0,1.0,0.6612903225806451,1.0
tpcds_sf10_t8,tpcds,10,8,Q81,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q82,2.77,0.21,0.21,0.21,0.21,0.21,0.21,0.21,13.190476190476192,13.190476190476192,1.0,13.190476190476192,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q83,0.21,0.11,0.11,0.11,0.21,0.11,0.11,0.11,1.909090909090909,1.909090909090909,1.0,1.0,0.5238095238095238,1.0
tpcds_sf10_t8,tpcds,10,8,Q84,0.21,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.909090909090909,1.909090909090909,1.0,1.909090909090909,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q85,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q86,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q87,0.62,0.62,0.62,0.62,0.52,0.62,0.62,0.62,1.0,1.0,1.0,1.1923076923076923,1.1923076923076923,1.0
tpcds_sf10_t8,tpcds,10,8,Q88,0.82,0.52,0.52,0.52,0.72,0.51,0.52,0.52,1.5769230769230769,1.5769230769230769,1.0,1.1388888888888888,0.7222222222222223,1.0
tpcds_sf10_t8,tpcds,10,8,Q89,0.31,0.31,0.31,0.31,0.31,0.21,0.31,0.31,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q90,0.21,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.909090909090909,1.909090909090909,1.0,1.909090909090909,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q91,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q92,0.21,0.11,0.11,0.11,0.21,0.11,0.11,0.11,1.909090909090909,1.909090909090909,1.0,1.0,0.5238095238095238,1.0
tpcds_sf10_t8,tpcds,10,8,Q93,0.62,0.41,0.41,0.52,0.62,0.41,0.41,0.41,1.1923076923076923,1.5121951219512195,1.2682926829268293,1.0,0.8387096774193549,0.7884615384615384
tpcds_sf10_t8,tpcds,10,8,Q94,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q95,1.85,1.85,2.92,0.31,1.84,1.85,2.87,0.31,5.967741935483871,1.0,1.0,1.0054347826086956,0.16847826086956522,5.967741935483871
tpcds_sf10_t8,tpcds,10,8,Q96,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q97,0.52,0.52,0.52,0.62,0.52,0.52,0.52,0.62,0.8387096774193549,1.0,1.0,1.0,1.1923076923076923,0.8387096774193549
tpcds_sf10_t8,tpcds,10,8,Q98,0.31,0.31,0.31,0.31,0.31,0.21,0.21,0.31,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf10_t8,tpcds,10,8,Q99,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf20_t8,tpcds,20,8,Q01,0.62,0.62,0.93,0.62,0.62,0.62,0.93,0.62,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf20_t8,tpcds,20,8,Q02,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,1.0,1.0,1.0,1.0,1.0,1.0
tpcds_sf20_t8,tpcds,20,8,Q03,0.41,0.31,0.31,0.31,0.41,0.31,0.31,0.31,1.3225806451612903,1.3225806451612903,1.0,1.0,0.7560975609756098,1.0
tpcds_sf20_t8,tpcds,20,8,Q04,4.15,4.154999999999999,4.1,4.154999999999999,3.38,3.49,3.39,3.49,0.9987966305655839,0.9987966305655839,1.1905444126074496,1.2278106508875741,1.2292899408284022,1.0
tpcds_sf20_t8,tpcds,20,8,Q05,0.72,0.62,0.82,0.62,0.72,0.62,0.72,0.62,1.161290322580645,1.161290322580645,1.0,1.0,0.8611111111111112,1.0
tpcds_sf20_t8,tpcds,20,8,Q06,1.03,1.03,1.03,1.03,0.92,0.92,0.93,0.93,1.0,1.0,1.10752688172043,1.1195652173913044,1.1195652173913044,1.0
tpcds_sf20_t8,tpcds,20,8,Q07,0.82,0.52,0.52,0.62,0.62,0.52,0.52,0.52,1.3225806451612903,1.5769230769230769,1.1923076923076923,1.3225806451612903,1.0,0.8387096774193549
tpcds_sf20_t8,tpcds,20,8,Q08,1.03,0.92,0.92,0.92,1.03,0.92,0.92,0.92,1.1195652173913044,1.1195652173913044,1.0,1.0,0.8932038834951457,1.0
tpcds_sf20_t8,tpcds,20,8,Q09,0.92,0.92,0.93,0.93,0.92,0.92,0.92,0.92,0.989247311827957,1.0,1.0108695652173914,1.0,1.0108695652173914,0.989247311827957
tpcds_sf20_t8,tpcds,20,8,Q10,0.52,0.52,0.52,0.31,0.41,0.52,0.52,0.31,1.6774193548387097,1.0,1.0,1.2682926829268293,0.7560975609756098,1.6774193548387097
tpcds_sf20_t8,tpcds,20,8,Q11,2.92,2.87,2.87,2.975,2.46,2.36,2.26,2.36,0.9815126050420168,1.0174216027874563,1.2605932203389831,1.1869918699186992,1.209349593495935,0.9647058823529412
tpcds_sf20_t8,tpcds,20,8,Q12,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,1.0,1.0,1.0,1.0,1.0,1.0
