label,query,case,k_breakeven,med_c1,med_c,med_bf
job_t1,job_q22c,2,44.2209230772559,2.381799893,0.6636909865,0.03975178650000002
job_t1,job_q22d,2,69.65269072892356,3.3477648305,0.543018604,0.040854133999999986
job_t1,job_q23a,2,13.354769885283837,1.1306911125,0.5433121240000001,0.0475426895
job_t1,job_q23b,2,9.602846134362288,1.0699231574999999,0.5272914585,0.06307583449999993
job_t1,job_q23c,2,9.258963711311267,1.210747546,0.6797368465,0.06429507599999999
job_t1,job_q24a,2,8.533617687112322,2.6973797700000004,1.3255147845000002,0.18209909800000001
job_t1,job_q24b,2,17.833251082486278,2.3320249530000003,0.9956286635,0.07939026650000007
job_t1,job_q25a,2,7.876832201429019,3.836777218,1.8407927255,0.2902476655000002
job_t1,job_q25b,2,11.042434722640962,3.4228023185,1.4439603399999998,0.1970480300000002
job_t1,job_q25c,2,7.0867830277566455,4.250912111,2.529069945,0.2828821330000003
job_t1,job_q26a,2,20.95674073078379,6.7994588975,1.653300089,0.2578656945
job_t1,job_q26b,2,23.544780149838378,5.985603622,1.293755295,0.20811240099999984
job_t1,job_q26c,2,22.74295745833621,6.8038092935000005,1.4786346940000001,0.24491491600000065
job_t1,job_q27a,2,7.0165416151879665,0.26928866500000004,0.20245356050000002,0.0111085585
job_t1,job_q27b,2,7.811748019350662,0.21721294800000002,0.1723449515,0.006586855
job_t1,job_q27c,2,14.507512766334216,0.354618271,0.2029007935,0.011232081
job_t1,job_q28a,2,57.431800460392985,3.042613633,0.619551672,0.04293788150000001
job_t1,job_q28b,2,23.04418427387051,1.5615481225,0.5572427855,0.04555874349999999
job_t1,job_q28c,2,59.18224094563289,3.069260214,0.6417128295,0.041723167500000005
job_t1,job_q29a,2,28.53459398304749,2.726165418,1.0124604465,0.062238251000000015
job_t1,job_q29b,2,15.972081434639097,1.502578412,0.919662056,0.038933554999999995
job_t1,job_q29c,2,25.118202014086172,4.3230060775,1.2482345069999998,0.1274875949999999
job_t1,job_q2a,2,9.857900939524892,0.5923109120000001,0.318443562,0.030917861000000005
job_t1,job_q2b,2,11.530107448795034,0.5815486675,0.30155050949999995,0.026590247000000025
job_t1,job_q2c,2,483.9091055992157,0.543231038,0.0576065345,0.001005623
job_t1,job_q2d,2,25.84592841479852,0.6150844405,0.500770237,0.004600922999999997
job_t1,job_q30a,2,6.354908159306911,3.7941553445,1.7725886924999998,0.37751658700000057
job_t1,job_q30b,2,12.550322983513045,3.5262844355,1.5548163385,0.1706851055000001
job_t1,job_q30c,2,8.116736643647085,4.5108047585,2.004519026,0.35216783450000105
job_t1,job_q31a,2,10.888927522335837,4.101650470499999,1.6959064480000001,0.24327653500000013
job_t1,job_q31b,2,21.351618286233812,3.549859499,1.5206096425,0.0997095085000007
job_t1,job_q31c,2,10.735228268671658,5.7154089025,2.1146294064999998,0.36987109049999867
job_t1,job_q32a,2,2946.5192901134096,0.127335283,0.0142258695,3.84005e-05
job_t1,job_q32b,2,340.1657037485461,0.313062028,0.25227352849999995,0.0001792295
job_t1,job_q33a,2,32.68303736810697,0.594728069,0.14867537,0.014078596499999999
job_t1,job_q33b,2,29.786637339922297,0.4880122315,0.1375150735,0.012175689500000007
job_t1,job_q33c,2,16.16856956377051,0.7816596455,0.28364052799999995,0.03283230600000001
job_t1,job_q3a,2,4.899814669957039,1.810704855,1.1876300125,0.15977037249999979
job_t1,job_q3b,2,0.5045590963064529,0.8511138315,0.8867147575000001,0.07185705850000002
job_t1,job_q3c,2,6.28347823515398,2.1423475745,1.291750779,0.1609918234999998
job_t1,job_q4a,2,8.40375746704615,0.6380786629999999,0.3717893285,0.035966782500000016
job_t1,job_q4b,2,1.8087629356305657,0.2982344375,0.2420855175,0.06942568399999999
